,TestFile,TestCase,TargetFile,TargetFunction,LineFrom,LineTo,FeatureName,FeatFrom,FeatTo
0,chmodtest.c,main,connect_ssh.c,connect_ssh,24,67,BASE,0,67
1,chmodtest.c,main,client.c,ssh_disconnect,672,750,BASE,0,759
2,chmodtest.c,main,error.c,ssh_get_error,128,132,BASE,0,154
3,connection.c,set_opts,error.c,ssh_get_error,128,132,BASE,0,154
4,connection.c,set_opts,options.c,ssh_options_getopt,1193,1357,BASE,0,2130
5,ssh_ping.c,main,client.c,ssh_connect,507,620,BASE,0,759
6,ssh_ping.c,main,session.c,ssh_free,191,326,BASE,0,1221
7,ssh_ping.c,main,error.c,ssh_get_error,128,132,BASE,0,154
8,ssh_ping.c,main,session.c,ssh_get_serverbanner,350,355,BASE,0,1221
9,ssh_ping.c,main,session.c,ssh_new,59,181,BASE,0,1221
10,ssh_ping.c,main,options.c,ssh_options_set,474,1039,BASE,0,2130
11,test_exec.c,do_connect,samplesshd-kbdint.c,authenticate,218,289,BASE,184,316
12,test_exec.c,do_connect,channels.c,ssh_channel_close,1285,1336,BASE,0,3673
13,test_exec.c,do_connect,channels.c,ssh_channel_free,1123,1167,BASE,0,3673
14,test_exec.c,do_connect,channels.c,ssh_channel_get_exit_status,3180,3193,BASE,0,3673
15,test_exec.c,do_connect,channels.c,ssh_channel_new,80,129,BASE,0,3673
16,test_exec.c,do_connect,channels.c,ssh_channel_open_session,920,930,BASE,0,3673
17,test_exec.c,do_connect,channels.c,ssh_channel_read,2831,2838,BASE,0,3673
18,test_exec.c,do_connect,channels.c,ssh_channel_request_exec,2568,2603,BASE,0,3673
19,test_exec.c,do_connect,channels.c,ssh_channel_send_eof,1224,1270,BASE,0,3673
20,test_exec.c,do_connect,client.c,ssh_connect,507,620,BASE,0,759
21,test_exec.c,do_connect,error.c,ssh_get_error,128,132,BASE,0,154
22,test_exec.c,main,test_exec.c,do_connect,10,49,BASE,0,62
23,test_exec.c,main,connection.c,set_opts,9,31,BASE,0,31
24,test_exec.c,main,client.c,ssh_disconnect,672,750,BASE,0,759
25,test_exec.c,main,init.c,ssh_finalize,218,220,BASE,0,253
26,test_exec.c,main,session.c,ssh_new,59,181,BASE,0,1221
27,test_pcap.c,main,buffer.c,ssh_buffer_new,119,142,BASE,0,1359
28,test_pcap.c,main,pcap.c,ssh_pcap_file_new,543,545,BASE,0,560
29,test_pcap.c,main,pcap.c,ssh_pcap_file_open,546,550,BASE,0,560
30,test_socket.c,data_rcv,socket.c,ssh_socket_nonblocking_flush,655,727,BASE,0,950
31,test_socket.c,data_rcv,socket.c,ssh_socket_write,637,648,BASE,0,950
32,test_socket.c,main,error.c,ssh_get_error,128,132,BASE,0,154
33,test_socket.c,main,init.c,ssh_init,147,149,BASE,0,253
34,test_socket.c,main,session.c,ssh_new,59,181,BASE,0,1221
35,test_socket.c,main,options.c,ssh_options_set,474,1039,BASE,0,2130
36,test_socket.c,main,poll.c,ssh_poll_ctx_dopoll,663,721,BASE,0,1120
37,test_socket.c,main,poll.c,ssh_poll_ctx_new,498,514,BASE,0,1120
38,test_socket.c,main,socket.c,ssh_socket_connect,839,859,BASE,0,950
39,test_socket.c,main,socket.c,ssh_socket_new,148,180,BASE,0,950
40,test_socket.c,main,socket.c,ssh_socket_set_callbacks,212,215,BASE,0,950
41,test_ssh_bind_accept_fd.c,ssh_server,test_ssh_bind_accept_fd.c,get_connection,27,60,BASE,0,147
42,test_ssh_bind_accept_fd.c,ssh_server,bind.c,ssh_bind_accept_fd,423,551,BASE,0,586
43,test_ssh_bind_accept_fd.c,ssh_server,bind.c,ssh_bind_new,133,145,BASE,0,586
44,test_ssh_bind_accept_fd.c,ssh_server,error.c,ssh_get_error,128,132,BASE,0,154
45,test_ssh_bind_accept_fd.c,ssh_server,server.c,ssh_handle_key_exchange,528,563,BASE,0,1181
46,test_ssh_bind_accept_fd.c,ssh_server,session.c,ssh_new,59,181,BASE,0,1221
47,test_ssh_bind_accept_fd.c,ssh_client,client.c,ssh_connect,507,620,BASE,0,759
48,test_ssh_bind_accept_fd.c,ssh_client,error.c,ssh_get_error,128,132,BASE,0,154
49,test_ssh_bind_accept_fd.c,ssh_client,session.c,ssh_new,59,181,BASE,0,1221
50,test_ssh_bind_accept_fd.c,ssh_client,options.c,ssh_options_set,474,1039,BASE,0,2130
51,test_ssh_bind_accept_fd.c,main,test_ssh_bind_accept_fd.c,ssh_client,105,123,BASE,0,147
52,test_ssh_bind_accept_fd.c,main,test_ssh_bind_accept_fd.c,ssh_server,62,103,BASE,0,147
53,test_tunnel.c,do_connect,samplesshd-kbdint.c,authenticate,218,289,BASE,184,316
54,test_tunnel.c,do_connect,channels.c,ssh_channel_close,1285,1336,BASE,0,3673
55,test_tunnel.c,do_connect,channels.c,ssh_channel_free,1123,1167,BASE,0,3673
56,test_tunnel.c,do_connect,channels.c,ssh_channel_new,80,129,BASE,0,3673
57,test_tunnel.c,do_connect,channels.c,ssh_channel_open_forward,985,1031,BASE,0,3673
58,test_tunnel.c,do_connect,channels.c,ssh_channel_poll,3038,3069,BASE,0,3673
59,test_tunnel.c,do_connect,channels.c,ssh_channel_read_nonblocking,2983,3022,BASE,0,3673
60,test_tunnel.c,do_connect,channels.c,ssh_channel_write,1553,1555,BASE,0,3673
61,test_tunnel.c,do_connect,client.c,ssh_connect,507,620,BASE,0,759
62,test_tunnel.c,do_connect,error.c,ssh_get_error,128,132,BASE,0,154
63,test_tunnel.c,main,test_tunnel.c,do_connect,10,63,BASE,0,76
64,test_tunnel.c,main,connection.c,set_opts,9,31,BASE,0,31
65,test_tunnel.c,main,client.c,ssh_disconnect,672,750,BASE,0,759
66,test_tunnel.c,main,init.c,ssh_finalize,218,220,BASE,0,253
67,test_tunnel.c,main,session.c,ssh_new,59,181,BASE,0,1221
68,torture.c,_torture_auth_kbdint,auth.c,ssh_userauth_kbdint,1664,1694,BASE,0,1955
69,torture.c,_torture_auth_kbdint,auth.c,ssh_userauth_kbdint_getnprompts,1707,1716,BASE,0,1955
70,torture.c,_torture_auth_kbdint,auth.c,ssh_userauth_kbdint_getprompt,1787,1805,BASE,0,1955
71,torture.c,_torture_auth_kbdint,auth.c,ssh_userauth_kbdint_setanswer,1862,1894,BASE,0,1955
72,torture.c,torture_terminate_process,torture.c,torture_read_pidfile,195,227,BASE,0,1375
73,torture.c,torture_ssh_session,torture.c,_torture_auth_kbdint,79,115,BASE,0,1375
74,torture.c,torture_ssh_session,client.c,ssh_connect,507,620,BASE,0,759
75,torture.c,torture_ssh_session,client.c,ssh_disconnect,672,750,BASE,0,759
76,torture.c,torture_ssh_session,session.c,ssh_free,191,326,BASE,0,1221
77,torture.c,torture_ssh_session,session.c,ssh_is_connected,548,554,BASE,0,1221
78,torture.c,torture_ssh_session,session.c,ssh_new,59,181,BASE,0,1221
79,torture.c,torture_ssh_session,options.c,ssh_options_set,474,1039,BASE,0,2130
80,torture.c,torture_ssh_session,pcap.c,ssh_set_pcap_file,552,556,BASE,0,560
81,torture.c,torture_ssh_session,auth.c,ssh_userauth_list,376,385,BASE,0,1955
82,torture.c,torture_ssh_session,auth.c,ssh_userauth_none,406,459,BASE,0,1955
83,torture.c,torture_ssh_session,auth.c,ssh_userauth_password,1246,1307,BASE,0,1955
84,torture.c,torture_ssh_session,auth.c,ssh_userauth_publickey_auto,1007,1212,BASE,0,1955
85,torture.c,torture_setup_socket_dir,pcap.c,ssh_pcap_file_new,543,545,BASE,0,560
86,torture.c,torture_setup_socket_dir,pcap.c,ssh_pcap_file_open,546,550,BASE,0,560
87,torture.c,torture_setup_socket_dir,torture.c,torture_make_temp_dir,976,997,BASE,0,1375
88,torture.c,torture_setup_create_sshd_config,torture_key.c,torture_get_openssh_testkey,837,841,BASE,0,867
89,torture.c,torture_setup_create_sshd_config,torture_key.c,torture_get_testkey,844,852,BASE,0,867
90,torture.c,torture_setup_create_sshd_config,torture.c,torture_write_file,1333,1348,BASE,0,1375
91,torture.c,torture_wait_for_daemon,misc.c,ssh_timeout_elapsed,1388,1411,BASE,0,1835
92,torture.c,torture_wait_for_daemon,misc.c,ssh_timestamp_init,1324,1335,BASE,0,1835
93,torture.c,torture_setup_sshd_server,torture.c,torture_setup_create_sshd_config,587,808,BASE,0,1375
94,torture.c,torture_setup_sshd_server,torture.c,torture_setup_socket_dir,526,585,BASE,0,1375
95,torture.c,torture_setup_sshd_server,torture.c,torture_wait_for_daemon,810,826,BASE,0,1375
96,torture.c,torture_teardown_socket_dir,pcap.c,ssh_pcap_file_free,539,541,BASE,0,560
97,torture.c,torture_teardown_socket_dir,torture.c,torture_rmdirs,117,182,BASE,0,1375
98,torture.c,torture_reload_sshd_server,torture.c,torture_read_pidfile,195,227,BASE,0,1375
99,torture.c,torture_reload_sshd_server,torture.c,torture_wait_for_daemon,810,826,BASE,0,1375
100,torture.c,torture_update_sshd_config,torture.c,torture_reload_sshd_server,908,934,BASE,0,1375
101,torture.c,torture_update_sshd_config,torture.c,torture_setup_create_sshd_config,587,808,BASE,0,1375
102,torture.c,torture_teardown_sshd_server,torture.c,torture_teardown_socket_dir,875,905,BASE,0,1375
103,torture.c,torture_teardown_sshd_server,torture.c,torture_terminate_process,229,260,BASE,0,1375
104,torture.c,main,cmdline.c,torture_cmdline_parse,60,72,BASE,0,72
105,torture.c,main,torture_algorithms.c,torture_run_tests,732,949,BASE,0,949
106,torture_cmocka.c,_assert_ssh_return_code,error.c,ssh_get_error,128,132,BASE,0,154
107,torture_cmocka.c,_assert_ssh_return_code_equal,error.c,ssh_get_error,128,132,BASE,0,154
108,torture_cmocka.c,_assert_ssh_return_code_not_equal,error.c,ssh_get_error,128,132,BASE,0,154
109,torture_key.c,torture_get_openssh_testkey,torture_key.c,torture_get_testkey_internal,686,834,BASE,0,867
110,torture_key.c,torture_get_testkey,torture_key.c,torture_get_testkey_internal,686,834,BASE,0,867
111,torture_key.c,torture_get_testkey_pub,torture_key.c,torture_get_testkey_internal,686,834,BASE,0,867
112,torture_key.c,torture_get_testkey_pub_pem,torture_key.c,torture_get_testkey_internal,686,834,BASE,0,867
113,benchmarks.c,connect_host,client.c,ssh_connect,507,620,BASE,0,759
114,benchmarks.c,connect_host,session.c,ssh_free,191,326,BASE,0,1221
115,benchmarks.c,connect_host,error.c,ssh_get_error,128,132,BASE,0,154
116,benchmarks.c,connect_host,session.c,ssh_new,59,181,BASE,0,1221
117,benchmarks.c,connect_host,options.c,ssh_options_parse_config,1375,1418,BASE,0,2130
118,benchmarks.c,connect_host,options.c,ssh_options_set,474,1039,BASE,0,2130
119,benchmarks.c,connect_host,legacy.c,ssh_userauth_autopubkey,97,99,BASE,0,745
120,benchmarks.c,do_benchmarks,latency.c,benchmarks_ping_latency,42,85,BASE,0,148
