Commit Nr,TargetFile,FeatureName,FeatFrom,FeatTo
1,examples/ssh_client.c,HAVE_PTY_H,30,-1
1,examples/ssh_server_fork.c,HAVE_PTY_H,27,29
1,include/libssh/priv.h,__WORDSIZE,73,75
1,include/libssh/priv.h,__WORDSIZE,85,87
1,include/libssh/priv.h,__WORDSIZE,75,77
1,include/libssh/priv.h,__WORDSIZE,87,89
1,include/libssh/priv.h,HAVE__VSNPRINTF_S,132,135
1,include/libssh/curve25519.h,WITH_SERVER,52,54
1,include/libssh/messages.h,WITH_SERVER,97,100
1,include/libssh/dh.h,WITH_SERVER,68,70
1,include/libssh/dh-gex.h,WITH_SERVER,28,30
1,include/libssh/gssapi.h,WITH_SERVER,32,36
1,include/libssh/ecdh.h,WITH_SERVER,50,54
1,include/libssh/priv.h,WITH_SERVER,272,275
1,include/libssh/packet.h,WITH_SERVER,62,64
1,include/libssh/sftp.h,WITH_SERVER,844,871
1,include/libssh/priv.h,HAVE_BYTESWAP_H,51,53
1,include/libssh/crypto.h,WITH_BLOWFISH_CIPHER,87,89
1,include/libssh/priv.h,HAVE_COMPILER__FUNCTION__,191,193
1,include/libssh/priv.h,WORDS_BIGENDIAN,388,390
1,include/libssh/priv.h,WORDS_BIGENDIAN,379,381
1,include/libssh/priv.h,HAVE__SNPRINTF_S,119,122
1,include/libssh/crypto.h,HAVE_LIBGCRYPT,31,33
1,include/libssh/keys.h,HAVE_LIBGCRYPT,31,34
1,include/libssh/crypto.h,HAVE_LIBGCRYPT,163,166
1,include/libssh/libgcrypt.h,HAVE_LIBGCRYPT,26,117
1,include/libssh/pki.h,HAVE_LIBGCRYPT,59,63
1,include/libssh/keys.h,HAVE_LIBGCRYPT,45,48
1,include/libssh/pki.h,HAVE_LIBGCRYPT,93,97
1,include/libssh/libgcrypt.h,HAVE_LIBGCRYPT,46,48
1,examples/ssh_server_fork.c,HAVE_LIBUTIL_H,24,26
1,include/libssh/priv.h,__LP64__,41,43
1,include/libssh/priv.h,__LP64__,43,44
1,include/libssh/libcrypto.h,HAVE_OPENSSL_FIPS_MODE,115,117
1,include/libssh/libssh.h,__CYGWIN__,24,42
1,include/libssh/libssh.h,__CYGWIN__,35,37
1,include/libssh/libssh.h,__CYGWIN__,29,31
1,include/libssh/libssh.h,__CYGWIN__,25,27
1,include/libssh/libssh.h,__CYGWIN__,28,34
1,include/libssh/libssh.h,__CYGWIN__,37,39
1,include/libssh/libssh.h,__CYGWIN__,27,41
1,include/libssh/libssh.h,__CYGWIN__,31,33
1,include/libssh/libssh.h,__CYGWIN__,34,40
1,include/libssh/priv.h,__hpux,41,43
1,include/libssh/priv.h,HAVE_FALLTHROUGH_ATTRIBUTE,397,399
1,include/libssh/priv.h,HAVE_ARPA_INET_H,210,212
1,include/libssh/priv.h,HAVE_ARPA_INET_H,197,199
1,include/libssh/priv.h,HAVE_ARPA_INET_H,73,75
1,include/libssh/priv.h,HAVE_ARPA_INET_H,397,399
1,include/libssh/priv.h,HAVE_ARPA_INET_H,388,390
1,include/libssh/priv.h,HAVE_ARPA_INET_H,140,141
1,include/libssh/priv.h,HAVE_ARPA_INET_H,136,139
1,include/libssh/priv.h,HAVE_ARPA_INET_H,379,381
1,include/libssh/priv.h,HAVE_ARPA_INET_H,405,407
1,include/libssh/priv.h,HAVE_ARPA_INET_H,65,159
1,include/libssh/priv.h,HAVE_ARPA_INET_H,55,-1
1,include/libssh/priv.h,HAVE_ARPA_INET_H,199,201
1,include/libssh/priv.h,HAVE_ARPA_INET_H,110,112
1,include/libssh/priv.h,HAVE_ARPA_INET_H,132,135
1,include/libssh/priv.h,HAVE_ARPA_INET_H,119,122
1,include/libssh/priv.h,HAVE_ARPA_INET_H,191,193
1,include/libssh/priv.h,HAVE_ARPA_INET_H,127,128
1,include/libssh/priv.h,HAVE_ARPA_INET_H,85,87
1,include/libssh/priv.h,HAVE_ARPA_INET_H,272,275
1,include/libssh/priv.h,HAVE_ARPA_INET_H,96,152
1,include/libssh/priv.h,HAVE_ARPA_INET_H,123,126
1,include/libssh/priv.h,HAVE_ARPA_INET_H,381,384
1,include/libssh/priv.h,HAVE_ARPA_INET_H,416,418
1,include/libssh/priv.h,HAVE_ARPA_INET_H,390,393
1,include/libssh/priv.h,HAVE_ARPA_INET_H,139,142
1,include/libssh/priv.h,HAVE_ARPA_INET_H,122,130
1,include/libssh/priv.h,HAVE_ARPA_INET_H,72,78
1,include/libssh/priv.h,HAVE_ARPA_INET_H,396,402
1,include/libssh/priv.h,HAVE_ARPA_INET_H,159,166
1,include/libssh/priv.h,HAVE_ARPA_INET_H,179,181
1,include/libssh/priv.h,HAVE_ARPA_INET_H,201,203
1,include/libssh/priv.h,HAVE_ARPA_INET_H,59,63
1,include/libssh/priv.h,HAVE_ARPA_INET_H,80,82
1,include/libssh/priv.h,HAVE_ARPA_INET_H,175,177
1,include/libssh/priv.h,HAVE_ARPA_INET_H,126,129
1,include/libssh/priv.h,HAVE_ARPA_INET_H,183,185
1,include/libssh/priv.h,HAVE_ARPA_INET_H,407,409
1,include/libssh/priv.h,HAVE_ARPA_INET_H,135,143
1,include/libssh/priv.h,HAVE_ARPA_INET_H,399,401
1,include/libssh/priv.h,HAVE_ARPA_INET_H,190,195
1,include/libssh/priv.h,HAVE_ARPA_INET_H,186,188
1,include/libssh/priv.h,HAVE_ARPA_INET_H,378,385
1,include/libssh/priv.h,HAVE_ARPA_INET_H,305,307
1,include/libssh/priv.h,HAVE_ARPA_INET_H,104,106
1,include/libssh/priv.h,HAVE_ARPA_INET_H,92,94
1,include/libssh/priv.h,HAVE_ARPA_INET_H,75,77
1,include/libssh/priv.h,HAVE_ARPA_INET_H,193,194
1,include/libssh/priv.h,HAVE_ARPA_INET_H,172,174
1,include/libssh/priv.h,HAVE_ARPA_INET_H,212,214
1,include/libssh/priv.h,HAVE_ARPA_INET_H,404,410
1,include/libssh/priv.h,HAVE_ARPA_INET_H,412,414
1,include/libssh/priv.h,HAVE_ARPA_INET_H,84,90
1,include/libssh/priv.h,HAVE_ARPA_INET_H,321,323
1,include/libssh/priv.h,HAVE_ARPA_INET_H,145,150
1,include/libssh/priv.h,HAVE_ARPA_INET_H,301,303
1,include/libssh/priv.h,HAVE_ARPA_INET_H,87,89
1,include/libssh/priv.h,HAVE_ARPA_INET_H,387,394
1,include/libssh/priv.h,HAVE_ARPA_INET_H,68,70
1,include/libssh/libcrypto.h,HAVE_ECC,42,44
1,include/libssh/curve25519.h,HAVE_ECC,42,44
1,include/libssh/ecdh.h,HAVE_ECC,30,32
1,include/libssh/pki.h,HAVE_OPENSSL_ECDSA_H,29,31
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,121,125
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,163,166
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,115,117
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,113,115
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,110,120
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,175,178
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,63,68
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,107,109
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,111,113
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,87,89
1,include/libssh/ecdh.h,HAVE_OPENSSL_ECDH_H,30,32
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,166,171
1,include/libssh/ecdh.h,HAVE_OPENSSL_ECDH_H,28,34
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,171,179
1,include/libssh/crypto.h,HAVE_OPENSSL_ECDH_H,45,-1
1,include/libssh/priv.h,_WIN32,73,75
1,examples/knownhosts.c,_WIN32,31,33
